packetsReceivedVideo,roundTripTimeAudio,bytesReceived,jitterAudio,bytesSentAudio,networkType,packetsReceivedAudio,bytesReceivedVideo,roomId,bytesSentVideo,date,bytesSent,packetsLostAudio,bytesReceivedAudio,availableOutgoingBitrate,time,jitterVideo,roundTripTimeVideo,packetsLostVideo,timestamp
29342,21.087999999999997,33047481,3,531761,4g,7568,31016280,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,28364331,2025-04-13 21:58:15.079000+00:00,30355447,12,547123,5357394,2025-04-13 21:58:15.235000+00:00,6.0,21.21,66,1744581495084.708
30082,21.087999999999997,33863540,3,538633,4g,7668,31791747,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,28789923,2025-04-13 21:58:17.079000+00:00,30808849,12,554721,5357394,2025-04-13 21:58:17.234000+00:00,10.0,24.002,66,1744581497084.254
30658,22.858,34495357,6,545590,4g,7768,32388930,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,29217514,2025-04-13 21:58:19.080000+00:00,31264065,12,562683,5357394,2025-04-13 21:58:19.239000+00:00,11.0,20.691,66,1744581499086.009
31074,22.858,34955564,5,552473,4g,7868,32820730,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,29650693,2025-04-13 21:58:21.080000+00:00,31724787,12,570246,5357394,2025-04-13 21:58:21.237000+00:00,10.0,28.259,66,1744581501086.831
31453,23.483,35377223,5,559535,4g,7968,33215110,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,30075134,2025-04-13 21:58:23.080000+00:00,32176534,12,578133,5357394,2025-04-13 21:58:23.239000+00:00,7.0,22.766,66,1744581503086.587
31815,18.494,35778707,5,567615,4g,8068,33590317,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,30494161,2025-04-13 21:58:25.080000+00:00,32623929,12,585784,5357394,2025-04-13 21:58:25.239000+00:00,7.0,13.123,66,1744581505086.355
32197,18.494,36200244,4,575743,4g,8168,33984673,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,30931769,2025-04-13 21:58:27.080000+00:00,33090451,12,593521,5357394,2025-04-13 21:58:27.238000+00:00,9.0,28.686999999999998,66,1744581507086.653
32576,18.494,36617310,5,583887,4g,8268,34375132,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,31351084,2025-04-13 21:58:29.081000+00:00,33538094,12,600946,5357394,2025-04-13 21:58:29.238000+00:00,10.0,23.070999999999998,66,1744581509087.385
32882,26.290999999999997,36955933,8,591995,4g,8366,34689278,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,31774702,2025-04-13 21:58:31.081000+00:00,33990264,14,608665,5357394,2025-04-13 21:58:31.241000+00:00,30.0,27.023,70,1744581511087.47
33265,26.290999999999997,37381916,6,600089,4g,8466,35087812,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,32214804,2025-04-13 21:58:33.081000+00:00,34459496,14,616390,5357394,2025-04-13 21:58:33.240000+00:00,18.0,21.713,70,1744581513087.395
33716,26.290999999999997,37879213,2,608168,4g,8566,35555730,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,32631506,2025-04-13 21:58:35.078000+00:00,34904651,14,623885,5357394,2025-04-13 21:58:35.235000+00:00,11.0,19.073,70,1744581515084.979
34071,26.290999999999997,38270526,4,616294,4g,8666,35920823,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,33059443,2025-04-13 21:58:37.077000+00:00,35361406,14,631613,5357394,2025-04-13 21:58:37.236000+00:00,12.0,16.83,70,1744581517084.37
34454,19.15,38695836,3,624394,4g,8766,36319101,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,33486633,2025-04-13 21:58:39.080000+00:00,35817256,14,639309,5357394,2025-04-13 21:58:39.240000+00:00,8.0,12.053999999999998,70,1744581519087.176
34837,19.15,39116369,3,632490,4g,8866,36712557,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,33912402,2025-04-13 21:58:41.081000+00:00,36271673,14,647016,5357394,2025-04-13 21:58:41.238000+00:00,6.0,12.832999999999998,70,1744581521088.304
35245,11.153999999999998,39563221,4,640595,4g,8966,37131492,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,34333892,2025-04-13 21:58:43.080000+00:00,36721686,14,654571,5357394,2025-04-13 21:58:43.236000+00:00,11.0,10.177999999999999,70,1744581523087.179
35615,11.153999999999998,39967805,22,648689,4g,9063,37509521,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,34792164,2025-04-13 21:58:45.081000+00:00,37209250,14,662118,5357394,2025-04-13 21:58:45.238000+00:00,28.0,159.378,71,1744581525088.802
36061,19.455,40451505,5,656791,4g,9162,37963593,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,35491231,2025-04-13 21:58:47.078000+00:00,37946923,18,669558,5357394,2025-04-13 21:58:47.237000+00:00,10.0,179.65699999999998,91,1744581527085.533
36462,19.455,40896676,4,664881,4g,9262,38380731,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,35904370,2025-04-13 21:58:49.076000+00:00,38388426,18,677393,5357394,2025-04-13 21:58:49.239000+00:00,14.0,17.517,91,1744581529083.957
36833,21.713,41295006,6,672988,4g,9362,38751703,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,36612031,2025-04-13 21:58:51.081000+00:00,39134842,18,684969,5357394,2025-04-13 21:58:51.237000+00:00,8.0,14.893,91,1744581531089.147
37277,21.713,41769489,3,681092,4g,9462,39196752,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,37144460,2025-04-13 21:58:53.080000+00:00,39700249,18,692285,5357394,2025-04-13 21:58:53.238000+00:00,7.0,15.045,91,1744581533087.079
